{ Units, Wavelength Units } SI Microns
{ Thickness } 5.715
{ Conductivity } 1
{ IR Transmittance } TIR=0
{ Emissivity, front back } Emis= 0.84 0.84
{ }
{ Ef_Source: Material }
{ Eb_Source: Material }
{ IGDB_Checksum: 222138694 }
{ Product Name: Generic Clear Glass }
{ Manufacturer: Generic }
{ NFRC ID: 103 }
{ Type: Monolithic }
{ Material: Glass }
{ Coating Name: N/A }
{ Coated Side: Neither }
{ Substrate Filename: N/A }
{ Appearance: Clear }
{ Acceptance: # }
{ Uses:  }
{ Availability:   }
{ Structure:  }
0.300    0.0000    0.0470    0.0490
0.305    0.0050    0.0470    0.0490
0.310    0.0000    0.0470    0.0480
0.315    0.0030    0.0460    0.0480
0.320    0.0190    0.0460    0.0480
0.325    0.0660    0.0450    0.0460
0.330    0.1600    0.0450    0.0470
0.335    0.2940    0.0490    0.0500
0.340    0.4370    0.0550    0.0560
0.345    0.5660    0.0620    0.0620
0.350    0.6710    0.0690    0.0690
0.355    0.7440    0.0740    0.0740
0.360    0.7930    0.0780    0.0780
0.365    0.8220    0.0800    0.0800
0.370    0.8320    0.0810    0.0810
0.375    0.8190    0.0800    0.0800
0.380    0.8090    0.0790    0.0790
0.385    0.8290    0.0800    0.0800
0.390    0.8530    0.0820    0.0820
0.395    0.8680    0.0830    0.0830
0.400    0.8750    0.0830    0.0830
0.410    0.8750    0.0830    0.0830
0.420    0.8730    0.0830    0.0830
0.430    0.8730    0.0820    0.0820
0.440    0.8730    0.0820    0.0820
0.450    0.8800    0.0820    0.0820
0.460    0.8870    0.0820    0.0820
0.470    0.8900    0.0820    0.0820
0.480    0.8920    0.0830    0.0830
0.490    0.8930    0.0820    0.0820
0.500    0.8940    0.0820    0.0820
0.510    0.8950    0.0820    0.0820
0.520    0.8950    0.0820    0.0820
0.530    0.8940    0.0820    0.0820
0.540    0.8930    0.0810    0.0810
0.550    0.8910    0.0810    0.0810
0.560    0.8880    0.0810    0.0810
0.570    0.8840    0.0800    0.0800
0.580    0.8810    0.0800    0.0800
0.590    0.8760    0.0790    0.0790
0.600    0.8710    0.0790    0.0790
0.610    0.8650    0.0780    0.0780
0.620    0.8590    0.0770    0.0770
0.630    0.8530    0.0770    0.0770
0.640    0.8470    0.0760    0.0760
0.650    0.8400    0.0750    0.0750
0.660    0.8330    0.0750    0.0750
0.670    0.8260    0.0740    0.0740
0.680    0.8180    0.0730    0.0730
0.690    0.8100    0.0730    0.0730
0.700    0.8020    0.0720    0.0720
0.710    0.7940    0.0710    0.0720
0.720    0.7860    0.0710    0.0710
0.730    0.7770    0.0700    0.0700
0.740    0.7690    0.0690    0.0700
0.750    0.7610    0.0690    0.0690
0.760    0.7520    0.0680    0.0680
0.770    0.7440    0.0670    0.0680
0.780    0.7360    0.0670    0.0670
0.790    0.7290    0.0660    0.0660
0.800    0.7220    0.0660    0.0660
0.810    0.7150    0.0650    0.0660
0.820    0.7100    0.0650    0.0650
0.830    0.7020    0.0640    0.0650
0.840    0.6980    0.0640    0.0640
0.850    0.6900    0.0630    0.0640
0.860    0.6870    0.0650    0.0650
0.870    0.6810    0.0670    0.0670
0.880    0.6770    0.0650    0.0660
0.890    0.6730    0.0660    0.0660
0.900    0.6700    0.0650    0.0660
0.910    0.6670    0.0650    0.0650
0.920    0.6640    0.0640    0.0640
0.930    0.6600    0.0630    0.0630
0.940    0.6580    0.0640    0.0640
0.950    0.6560    0.0630    0.0630
0.960    0.6540    0.0610    0.0610
0.970    0.6530    0.0620    0.0620
0.980    0.6510    0.0610    0.0620
0.990    0.6490    0.0610    0.0620
1.000    0.6480    0.0590    0.0600
1.050    0.6450    0.0590    0.0600
1.100    0.6450    0.0580    0.0590
1.150    0.6470    0.0590    0.0590
1.200    0.6530    0.0590    0.0590
1.250    0.6610    0.0580    0.0590
1.300    0.6730    0.0600    0.0600
1.350    0.6870    0.0600    0.0600
1.400    0.7020    0.0610    0.0610
1.450    0.7220    0.0610    0.0620
1.500    0.7410    0.0630    0.0640
1.550    0.7570    0.0630    0.0640
1.600    0.7690    0.0650    0.0650
1.650    0.7750    0.0650    0.0640
1.700    0.7790    0.0640    0.0650
1.750    0.7790    0.0650    0.0650
1.800    0.7770    0.0650    0.0650
1.850    0.7760    0.0650    0.0630
1.900    0.7730    0.0620    0.0620
1.950    0.7730    0.0650    0.0650
2.000    0.7720    0.0650    0.0650
2.050    0.7740    0.0640    0.0640
2.100    0.7750    0.0640    0.0650
2.150    0.7730    0.0650    0.0650
2.200    0.7580    0.0640    0.0650
2.250    0.7590    0.0640    0.0640
2.300    0.7660    0.0650    0.0650
2.350    0.7670    0.0640    0.0650
2.400    0.7660    0.0640    0.0640
2.450    0.7570    0.0640    0.0640
2.500    0.7500    0.0630    0.0630

